e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
23.264,8.992,7.136,3.52132e+08,42984.9,1408.53,1.02386,0,8192,0
24.176,9.792,7.296,3.38848e+08,41363.3,1355.39,1.02386,0,8192,0
22.784,8.768,6.848,3.59551e+08,43890.4,1438.2,1.02386,0,8192,0
22.736,8.928,7.04,3.6031e+08,43983.1,1441.24,1.02386,0,8192,0
23.728,9.44,7.328,3.45246e+08,42144.3,1380.98,1.02386,0,8192,0
24.32,8.736,6.912,3.36842e+08,41118.4,1347.37,1.02386,0,8192,0
23.105,8.576,7.584,3.54555e+08,43280.7,1418.22,1.02386,0,8192,0
24.32,9.792,7.136,3.36842e+08,41118.4,1347.37,1.02386,0,8192,0
22.96,8.96,7.2,3.56794e+08,43554,1427.18,1.02386,0,8192,0
23.216,8.704,7.456,3.5286e+08,43073.7,1411.44,1.02386,0,8192,0
27.312,9.056,11.072,2.99941e+08,36613.9,1199.77,1.02386,0,8192,0
23.04,8.992,7.2,3.55556e+08,43402.8,1422.22,1.02386,0,8192,0
23.072,8.352,7.584,3.55062e+08,43342.6,1420.25,1.02386,0,8192,0
23.312,9.216,6.816,3.51407e+08,42896.4,1405.63,1.02386,0,8192,0
24.208,10.08,7.008,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
23.232,8.896,7.2,3.52617e+08,43044.1,1410.47,1.02386,0,8192,0
27.056,9.344,7.424,3.02779e+08,36960.4,1211.12,1.02386,0,8192,0
24.224,9.952,7.232,3.38177e+08,41281.4,1352.71,1.02386,0,8192,0
22.144,7.84,7.232,3.69942e+08,45159,1479.77,1.02386,0,8192,0
23.232,9.12,7.104,3.52617e+08,43044.1,1410.47,1.02386,0,8192,0
24.288,9.888,7.136,3.37286e+08,41172.6,1349.14,1.02386,0,8192,0
23.024,9.056,7.008,3.55803e+08,43432.9,1423.21,1.02386,0,8192,0
25.28,8.992,7.52,3.24051e+08,39557,1296.2,1.02386,0,8192,0
25.2,10.624,7.52,3.25079e+08,39682.5,1300.32,1.02386,0,8192,0
24.496,9.888,7.424,3.34422e+08,40823,1337.69,1.02386,0,8192,0
23.104,8.96,7.104,3.54571e+08,43282.5,1418.28,1.02386,0,8192,0
24.272,9.984,7.328,3.37508e+08,41199.7,1350.03,1.02386,0,8192,0
24.304,9.728,7.52,3.37064e+08,41145.5,1348.26,1.02386,0,8192,0
25.856,8.832,6.848,3.16832e+08,38675.7,1267.33,1.02386,0,8192,0
23.632,9.28,7.264,3.46649e+08,42315.5,1386.59,1.02386,0,8192,0
26.176,8.896,6.912,3.12958e+08,38202.9,1251.83,1.02386,0,8192,0
23.264,9.12,7.168,3.52132e+08,42984.9,1408.53,1.02386,0,8192,0
25.296,10.592,7.584,3.23846e+08,39531.9,1295.38,1.02386,0,8192,0
25.2,11.424,6.816,3.25079e+08,39682.5,1300.32,1.02386,0,8192,0
25.472,10.944,7.264,3.21608e+08,39258.8,1286.43,1.02386,0,8192,0
26.96,13.216,6.848,3.03858e+08,37092,1215.43,1.02386,0,8192,0
25.776,8.96,7.52,3.17815e+08,38795.8,1271.26,1.02386,0,8192,0
22.816,9.024,6.752,3.59046e+08,43828.9,1436.19,1.02386,0,8192,0
27.376,9.952,7.104,2.9924e+08,36528.3,1196.96,1.02386,0,8192,0
23.088,9.12,7.072,3.54816e+08,43312.5,1419.27,1.02386,0,8192,0
25.504,10.816,7.712,3.21205e+08,39209.5,1284.82,1.02386,0,8192,0
24.48,8.608,6.72,3.34641e+08,40849.7,1338.56,1.02386,0,8192,0
22.8,9.056,6.72,3.59298e+08,43859.6,1437.19,1.02386,0,8192,0
23.328,9.024,7.264,3.51166e+08,42866.9,1404.66,1.02386,0,8192,0
23.568,9.888,6.72,3.4759e+08,42430.4,1390.36,1.02386,0,8192,0
24.192,9.984,7.264,3.38624e+08,41336,1354.5,1.02386,0,8192,0
24.48,8.992,7.2,3.34641e+08,40849.7,1338.56,1.02386,0,8192,0
23.008,9.088,6.88,3.5605e+08,43463.1,1424.2,1.02386,0,8192,0
26.848,9.216,7.136,3.05125e+08,37246.7,1220.5,1.02386,0,8192,0
23.04,9.184,6.944,3.55556e+08,43402.8,1422.22,1.02386,0,8192,0
24.144,9.728,7.424,3.39298e+08,41418.2,1357.19,1.02386,0,8192,0
25.264,10.624,7.552,3.24256e+08,39582,1297.02,1.02386,0,8192,0
23.744,9.152,7.52,3.45013e+08,42115.9,1380.05,1.02386,0,8192,0
26.288,8.992,6.848,3.11625e+08,38040.2,1246.5,1.02386,0,8192,0
23.152,9.088,6.976,3.53836e+08,43192.8,1415.34,1.02386,0,8192,0
24.112,9.792,7.328,3.39748e+08,41473.1,1358.99,1.02386,0,8192,0
23.472,8.832,7.328,3.49012e+08,42604,1396.05,1.02386,0,8192,0
25.153,10.592,7.584,3.25687e+08,39756.7,1302.75,1.02386,0,8192,0
27.344,9.312,10.72,2.9959e+08,36571.1,1198.36,1.02386,0,8192,0
22.976,9.056,6.944,3.56546e+08,43523.7,1426.18,1.02386,0,8192,0
24.032,10.24,6.688,3.40879e+08,41611.2,1363.52,1.02386,0,8192,0
25.472,10.88,7.232,3.21608e+08,39258.8,1286.43,1.02386,0,8192,0
23.776,9.152,7.584,3.44549e+08,42059.2,1378.2,1.02386,0,8192,0
25.776,9.216,6.848,3.17815e+08,38795.8,1271.26,1.02386,0,8192,0
23.696,9.536,6.944,3.45712e+08,42201.2,1382.85,1.02386,0,8192,0
24.048,10.304,6.752,3.40652e+08,41583.5,1362.61,1.02386,0,8192,0
23.088,8.864,6.912,3.54816e+08,43312.5,1419.27,1.02386,0,8192,0
24.224,10.048,6.976,3.38177e+08,41281.4,1352.71,1.02386,0,8192,0
26.768,9.056,7.36,3.06037e+08,37358,1224.15,1.02386,0,8192,0
23.312,9.312,7.008,3.51407e+08,42896.4,1405.63,1.02386,0,8192,0
27.168,12.768,7.456,3.01531e+08,36808,1206.12,1.02386,0,8192,0
23.072,9.312,6.88,3.55062e+08,43342.6,1420.25,1.02386,0,8192,0
24.672,10.944,6.72,3.32036e+08,40531.8,1328.15,1.02386,0,8192,0
27.232,12.608,7.424,3.00823e+08,36721.5,1203.29,1.02386,0,8192,0
26.176,9.152,6.976,3.12958e+08,38202.9,1251.83,1.02386,0,8192,0
23.104,8.8,7.392,3.54571e+08,43282.5,1418.28,1.02386,0,8192,0
26.896,10.176,6.816,3.04581e+08,37180.2,1218.32,1.02386,0,8192,0
23.936,9.44,7.424,3.42246e+08,41778.1,1368.98,1.02386,0,8192,0
23.296,8.864,7.264,3.51648e+08,42925.8,1406.59,1.02386,0,8192,0
23.136,9.088,7.04,3.5408e+08,43222.7,1416.32,1.02386,0,8192,0
26.88,9.216,7.52,3.04762e+08,37202.4,1219.05,1.02386,0,8192,0
23.152,8.896,7.136,3.53836e+08,43192.8,1415.34,1.02386,0,8192,0
24.176,9.792,7.072,3.38848e+08,41363.3,1355.39,1.02386,0,8192,0
23.249,9.216,6.912,3.52359e+08,43012.6,1409.44,1.02386,0,8192,0
23.424,8.928,7.392,3.49727e+08,42691.3,1398.91,1.02386,0,8192,0
27.328,8.992,11.072,2.99766e+08,36592.5,1199.06,1.02386,0,8192,0
23.216,9.376,6.816,3.5286e+08,43073.7,1411.44,1.02386,0,8192,0
26.272,11.68,7.296,3.11815e+08,38063.3,1247.26,1.02386,0,8192,0
24.496,10.112,7.392,3.34422e+08,40823,1337.69,1.02386,0,8192,0
25.2,10.88,7.296,3.25079e+08,39682.5,1300.32,1.02386,0,8192,0
24.16,10.24,6.752,3.39073e+08,41390.7,1356.29,1.02386,0,8192,0
25.264,9.024,7.072,3.24256e+08,39582,1297.02,1.02386,0,8192,0
23.408,9.088,7.2,3.49966e+08,42720.4,1399.86,1.02386,0,8192,0
23.2,9.152,7.008,3.53103e+08,43103.4,1412.41,1.02386,0,8192,0
24.208,10.016,7.072,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
24.08,9.92,7.168,3.40199e+08,41528.2,1360.8,1.02386,0,8192,0
24.48,8.672,7.392,3.34641e+08,40849.7,1338.56,1.02386,0,8192,0
23.2,9.248,6.912,3.53103e+08,43103.4,1412.41,1.02386,0,8192,0
27.328,9.28,7.552,2.99766e+08,36592.5,1199.06,1.02386,0,8192,0
25.184,11.328,6.784,3.25286e+08,39707.8,1301.14,1.02386,0,8192,0
25.536,9.92,7.584,3.20802e+08,39160.4,1283.21,1.02386,0,8192,0
23.232,9.12,6.976,3.52617e+08,43044.1,1410.47,1.02386,0,8192,0
24.08,10.208,6.688,3.40199e+08,41528.2,1360.8,1.02386,0,8192,0
26.16,9.312,6.912,3.1315e+08,38226.3,1252.6,1.02386,0,8192,0
23.552,8.864,7.584,3.47826e+08,42459.2,1391.3,1.02386,0,8192,0
27.328,12.672,7.68,2.99766e+08,36592.5,1199.06,1.02386,0,8192,0
23.104,9.248,6.816,3.54571e+08,43282.5,1418.28,1.02386,0,8192,0
23.264,8.864,7.264,3.52132e+08,42984.9,1408.53,1.02386,0,8192,0
27.536,13.632,6.88,2.97501e+08,36316.1,1190.01,1.02386,0,8192,0
26.656,9.12,7.04,3.07323e+08,37515,1229.29,1.02386,0,8192,0
23.697,9.248,7.488,3.45698e+08,42199.4,1382.79,1.02386,0,8192,0
26.304,9.312,7.008,3.11436e+08,38017,1245.74,1.02386,0,8192,0
22.88,8.896,7.008,3.58042e+08,43706.3,1432.17,1.02386,0,8192,0
23.216,9.472,6.752,3.5286e+08,43073.7,1411.44,1.02386,0,8192,0
24.272,10.08,6.624,3.37508e+08,41199.7,1350.03,1.02386,0,8192,0
23.088,9.184,6.912,3.54816e+08,43312.5,1419.27,1.02386,0,8192,0
26.848,9.184,7.264,3.05125e+08,37246.7,1220.5,1.02386,0,8192,0
23.28,9.088,7.2,3.5189e+08,42955.3,1407.56,1.02386,0,8192,0
27.184,12.704,7.488,3.01354e+08,36786.3,1205.41,1.02386,0,8192,0
